# N RCT3-new RCT3 Triptych-2 Triptych
16  4.61	5.03	4.07	4.34
32  6.24	6.3	5.24	5.52
64  9.43	8.71	7.43	7.72
128 15.76	13.37	11.67	11.96
256 28.34	22.54	19.99	20.3
512 53.44	40.74	36.5	36.82
1024    103.57	76.99	69.38	69.71
