# N CLSAG RCT3 Triptych
2	0.16	0.64	0.384
4	0.224	0.704	0.48
8	0.352	0.768	0.576
16	0.608	0.832	0.672
32	1.12	0.896	0.768
64	2.144	0.96	0.864
128	4.192	1.024	0.96
256	8.288	1.088	1.056
512	16.48	1.152	1.152
1024	32.864	1.216	1.248
2048	65.632	1.28	1.344
4096	131.168	1.344	1.44
8192	262.24	1.408	1.536
