# N RCT3-new RCT3 Arcturus Triptych
16	5.51	8.61	5.68	7.24
32	5.69	9.01	6.14	7.84
64	5.86	9.4	6.6	8.43
128	6.03	9.8	7.06	9.03
256	6.2	10.2	7.51	9.63
512	6.38	10.6	7.97	10.23
1024	6.55	11	8.43	10.83
